number,relevance,text
115861,1,"Government keeps growing and expanding, it needs to shrunk down until it only does the bare minimum. We should have people in government that hate government with a burning passion, anyone with any big ideas should be bared from entering government. When governments are too big and powerful they start arresting people who are smoking pot, or blowing off some steam on the internet, governments should be understaffed, underpaid and way too busy to bother with the regular tax-payers
"
117226,1,"Univercity of Michigan has 36%. Pretty close for an unsourced statistic on the internet really. www.drugabuse.gov/publications/drugfacts/high-school-youth-trendsaSo only over 1/3rd of 12th grade Americans can have their illegal weed smoking used to convict them of any theoretical crime. Bring in illegal downloads, undeclared income, insurance application irregularities and community bylaw infractions and pretty much any kid is already committing enough crime to be convicted whenever we like. Some may use weed smoking as evidence that a person fits the profile of a criminal, I use the governments position that smoking weed can be used as evidence of criminal behavior as evidence of THAT governments criminal behavior. Pharmacological evidence has failed to prove time and again that marijuana causes criminal behavior but has succeeded in proving that it is a good candidate as a medication for that exact problem, but it's not advantageous to bring that up. So lets just confuse causation and correlation just long enough to link pot smoking and criminal activity... but not alchohol and criminal activity... or playing dice and criminal activity... or geographic location and criminal activity ect.
"
121892,1,"Well if you legalize marijuana you're basically legalizing hemp too since they come from Cannabis Sativa L. So take all the uses of hemp that can be used such as paper, fuel, fabric, textiles, rope, plastic alternatives, building materials, and so on. Plus legalizing weed itself would make money for the government by being taxed. Money is to be made.
"
124121,1,"I see it as a democratic issue and as a justice issue. Without information transparency, how can we know that the decisions our elected leaders are making are responsible and in our best interest? Just like in the scientific method, I want the conclusions a Representative comes to to be based on a repeatable, logical process - not to be the result of hidden data or back room dealings. For instance, why should we be putting people away for pot if we don't know it's quantitative and clinical safety profile? The reasoning behind the law, and thus the data needs to be public.I think Capitol Bells could be a new method for implementing democracy, and it's not limited to the US Congress. The same formula of getting the alert an elected body is voting, and virtually voting just ahead of them could work just as well at the state and local level, as well as in other democratic nations. It enables us to publicly (but anonymously) record our positions at a granular, local level. That in turn creates a performance metric to compare any individual Representatives official actions to, which could bite him in the ass when the next election rolls around.
"
124852,0,"pol pot was quite popular among certain american ruling circles during the late 70s and into the 80s
"
125257,1,"Yes, I do....but I have not been able to find it since I left CA. We must legalize so that we can unleash the endless medicinal possibilites of a plant that grows from the ground instead of continuing to hook our people on these horrific manmade drugs. I never smoked weed in high school or college. I do not advise it to children (unless medical situation requires), but I also believe that it should fall under the same legal status as alcohol.
"
126872,1,"Weed can no longer be used as ""probable cause"" in states where weed is even decriminalized. If the bus is in Washington State it can have an ounce per adult on the bus legally, so probable cause is no longer available for cops. However, as everyone who does not know will learn, the cops do what they want regardless of the law a LOT. They have the mentality of marines, ""arrest everyone and let the court sort em out""
"
128975,1,"Dude, pot hasn't been legal in WA for very long, don't act like the legal repercussions are foreign and mysterious.
"
137730,1,"I disagree with your original point but I think it's defensible. Cigarettes are a common target in the defense of legal marijuana (which I support) but you did not defend alcohol's legality, just reasoned it's current state. I wish opponents of legalization were more like you.
"
137746,1,"> It's not just that 12% of the population break the law, it's that 12% are breaking the law at any given time.Considering some of the laws we have out there, that's not necessarily saying much. You could be breaking the law by carrying a multi-tool with a knife blade that's a centimeter too long. There's also a good chance that a large number of those ""law-breakers"" are marijuana offenses, which is obviously not the same as a hardened criminal on probation getting caught with the gun they were about to use to rob a liquor store, or something. It's just that they don't say ""12% of people were carrying some pot"" because that's not something that scares people into letting them get away with randomly searching whomever they feel like searching.Without knowing all of the specific offenses they're talking about, just saying ""12% of people are breaking the law at any given time"" doesn't necessarily mean you should worry.
"
144934,1,"Nice try Woody Harrelson. But seriously, I see hemp clothes for sale right now. So that is not necessarily linked to legalization.Anywho, I don't care to debate pot legal/ not legal, I just think people are being a bit silly with how overwrought they are getting with Trudeau outing himself as a pot smoker. Thats all really.
"
147529,1,"Your logic obviously fails you since you're drawing the line 'crime' at 'person who smokes pot.' Apparently in your world a kidnapping rapist is just as much a ""criminal"" as a guy who smokes up while listening to Bob Marley in his house.Is a person who smokes pot hurting me or my family? No? Then why do I care? If you want to argue that they're hurting themselves that's fine -- but you'd still be wrong. Smoking pot is less harmful than drinking or smoking tobacco. And while we're on the topic of criminal behavior I'll ask what's worse: Someone who works a full shift at a hard job who wants to relax by toking up at a friends house afterwards? Or the state who deems that person a danger to society and locks them in prison for years because of manditory minimum sentencing?
"
151862,1,"Mmm. Those sound delicious! Way to be productive and just keep those seeds alive. I've been interested in vanilla kush, just grabbed a kosher kush yesterday it was damn pricey but I think kush plants work well for me. So do you keep your mother plants around for quite awhile then? That sucks they are cracking down on seed delivery so hard. I can get my seeds here fine but my government is trying to outlaw medical grows so who knows if i'll be able to use them lol.
"
152880,1,"No doubt; if you apply the 'personal freedom' argument to it, which I didn't touch on, then it would be more difficult to make the case to outlaw tobacco. But I think it's still quite achievable - we can already demonstrate an externality (second hand smoking) and as we know, your right to swing your fist ends at my nose. I think there would still be people that use it as a drug, but I doubt it would be at a level similear to that of marijuana now. The actual effects of tobacco are very mild compared to marijuana, and when contrasted with the negative effects tobacco usage is a far poorer drug of choice. We currently use caffeine, which can have similar mild stimulant effects, with far fewer health risks. Most smokers I know smoke because they started as young teens (peer pressure) or they were raised in smoking homes. The latter effect is almost eliminated now and will almost surely be near 0 in the next decade or two. The former will continue to be stamped out with education and better enforcement (I personally believe that possession of tobacco products should be illegal for those under the age of 19, but enforcement costs may be too high to effectively institute that). In a hypothetical future society where tobacco is not present I doubt there would be much demand for it, the current demand is based almost entirely off social/psychological pressures and not the actual effects of the drug.
"
155638,1,"Smoking pot, to me, is alright. As long it's in moderation of course. People who always talk about pot and are ALWAYS high need to get their priorities in line.Its gross? Brush your teeth. Risky lifestyle? No one has ever died smoking weed, ever. In the history of the damn world. Worried about the people that come along with it? Choose your friends wisely, just like anyone else. It's illegal? So is underage drinking, yet teenagers seem to be all for it. If anything, weed should be legal and alcohol shouldn't.This is coming from a person who doesn't smoke but does partake in alcohol.
"
158012,1,"I'm no more special than anyone else. With the right mindset, you can get there now.I try to think of people as inherently good, then work backwards from there. In this case, I put myself in Jenny's position. She looks young, so she wouldn't know that much about the drug culture, other than the fact that ""drugs are bad, mmmkay"". She probably hasn't ever seen a joint before, let alone had someone offer one to her. She would have been confused. Adults probably would have had a similar experience during their lifetimes, so a teacher would be a decent person to talk to.What the teacher says to Jenny depends entirely on their own life experiences. Someone with some objectivity and decent life experience would probably say the girl on the bench shouldn't be offering drugs to anyone who walks by, and then educate on the uses and potential risks of marijuana, just as they would teach about alcohol.mSomeone with limited life experience and more conservative perspectives would be more inclined to bundle the girl on the bench with criminals and loonies.Here's something for you to do; go to a park, sit on a bench seat, look at people, and remind yourself that each and every person out there is very much like yourself. They're all trying to make the best of this existence into which they've been placed. They're all trying to be happy. They're all learning, all the time.
"
164767,1,"I still believe the only thing that should be illegal is public intoxication and that anything you do in your home that doesn't effect safety of others (i.e being on drugs with a kid in the house= child endangerment) should be your business and only your business. Legalizing marijuana (maybe nationwide within the next 20 years if we're lucky?) is a start but it's far from real progress. As long as alcohol and tobacco are legal while other drugs are illegal, the war on drugs is a joke. This is coming from someone who hasn't done anything outside of drink alcohol and take one hit of weed in my freshman year of college. I don't think my personal lifestyle choices should dictate everyone else's life.
"
166420,1,"You're not making a point. There are plenty of issues where Paul's stance is outrageous. Just because he wants to legalize marijuana doesn't mean he's a worthy candidate. Even a broken clock is right twice a day, etc etc.
"
166495,1,">I'm going to break the law atleast three times on my way home tonightand who is gonna wreck your night because of it? the same people who have plenty of time to harass you about cannabis, but are in too much of a rush to park in a reasonable spot. fucking hypocrites.>And let's work with the police we have, we're too broke to hire more.maybe if the police would actually stop the parasitic rich from stealing everything not nailed down, we wouldn't be broke in the first place.(not that i think society's problems would be better with more professional thugs roaming the streets)
"
167132,1,"Just for context, we know what the consequences of alcohol consumption. So the question is: Why is it on sale on 7-11s then?Legalizing well researched psychedelics like LSD would bring down the consumption of ""spice"", ""bath salts"" and other chemicals that are on sale at corner shops in several countries and whose long term effects have exactly zero studies, much in the same way that legalizing cannabis has decreased consumption of street ""weed"".
"
168433,1,"The question is whether prohibition actually leads to a lower consumption and to what extend it helps organized crime. The experience from the alcohol prohibition in the United States and other similar endeavors makes me think it will do more of the latter than the former. Also, I think this is something that should be everybody's responsibility, as cannabis does not directly do any damage to anyone other than the one using it.
"
170519,1,"Close but no cigar.It's a fracking plant, consumed by consenting adults, with no greater negative consequences to society as any other drug. It's so easy to grow and harvest or just buy from others that the law is not doing anything other than making criminals out of people partaking in a relatively harmless activity.I don't think this situation can be considered resolved until it's fully legal, medical or no. But this might be a step in the right direction.I don't smoke pot. But I can still support the rights of others to do so.
"
171546,0,"thanks for being a better parent than my step-dad. When I got caught (20 years ago) he made ME destroy all my pipes and had me dump my stash, although he made me do it in the grass, so I just went back and pick out the dirt.First of all, don't judge him. I want to say that it is weed and not a big deal, but it can be. It can be both good and bad. The good is, it frees your brain from preconceived notions, it allows you to explore your creativity in ways that you never thought possible. It can help with homework, help with focus, it can help with many different things medically, socially. The bad however, is out there. I have seen people think that the only way they can function is to be high, the only way they can deal with life is to be high. I was one of those for a long time. I would wake up, get high, go to work high, school high, do everything high, and I was unmotivated, because I couldn't grasp the concept that it is ok to not be high.Weed can lead to a unmotivated life, but it can also prove to be a powerful tool in creating your life. I live in Texas and I am not close to the wonders of nature out here. I love this subreddit because I see all sorts of people posting about their smoke spots. So some people are motivated to find a place in nature, to sit and think and explore themselves, and to get a bit of karma in the process.Most of all, you're a great did for taking the time to get to know your son and his world. If you make sure he is on top of his world, i.e. does well in class, is courteous, respectful, responsible and can learn to smoke responsibly, allow him to dabble. Under no circumstance should you treat him like a criminal or a loser, as that is the fastest way of pushing him off a cliff. He is a young man learning to be an adult and how you handle this will be how he handles life.good luck and keep us posted.
"
171803,1,"And they owe me the difference between the artificially inflated price of weed and the fair legal market price, for forty five years.
"
173144,1,"> Hrm. Maybe. I think it is far more likely that the dealers will continue with business as usual and ignore the laws, just like they do now.Except that the demand for their illegal product will be at an all time low because customers pick it up at any corner store (or pot store, whatever). I'm sure if they could continue selling pot and remain a viable business they would, I don't think they'll be financially sustainable anymore. Sure, there will be lots of laws surrounding it, but that doesn't mean people will avoid buying from the legitimate source. How many people sell illegal alcohol or cigarettes?
"
173727,1,"If I remember correctly marijuana was only made illegal in the 1930s. So I wouldn't think REAL conservatives would support its stance as an illegal substance. Just seems that big pharma and the alcohol industry will fight in all it's power to stop its legalization. And now that the United States has a patient on the anti cancer properties of this naturally occurring drug, several states have welcomed its presents. http://patients4medicalmarijuana.wordpress.com/medical-use-of-cannabis-video/the-government-holds-a-patent-for-medical-marijuana/I'm unsure how to post a link. But this gives an ok insight to what I was talking about. Sorry from grammar I'm on a phone
"
174309,1,"I understand where you're coming from. If it was legalized, I'm sure they would probably need to put laws in place about driving while using it, and age requirements to buy. And yes, marijuana can have an effect on the brain, but the current studies of it do not prove that is a cause of brain damage. There is far more evidence that shows that cigarettes can have damaging effects. Whether marijuana is legal or not, it is still going to be used by many. If anything, it will done more irresponsibly while illegal.
"
175900,1,"also wtf weed's illegal but cigarettes aren't DOWNVOTE ME IF YOU MUST, I DON'T CARE ABOUT YOUR INTERNET POINTS
"
177676,1,"If you had asked me before my experience with weed, then I would have answered negatively but after experiencing it, I don't think any less of a person for doing any drugs honestly. People fall onto the harder drugs because of other issues. I don't think any less of them for that because that's part of being human. As far weed goes though, I don't care if you smoke it, just don't be stupid about it legally.
"
179664,1,"[legalise gay weed](http://i.imgur.com/hfkEH.jpg)
"
185192,1,">me being a legal cannabis user.No such thing in the US. Cannabis is a schedule 1 drug under the Controlled Substances Act.
"
190532,1,"While MJ might have similar respiratory impacts as cigs, it's kind of hard to get through an entire pack in a day like serious cigarette smokers do. One issue of MJ legalization is that it may escape the ""sin"" taxes applied to cigarettes that go towards funding public health care. These tax offsets are important in paying for health care to counter the deleterious effects of intentionally inhaling burning stuff. One issue of this is that it would take full on, grow it in your basement yourself legalization, into an area of authorized producers only who are charged taxes based on their production to fund health care to counter impacts. This is a halfway position that many legalization advocates would not agree to. I might not disagree with the legalization of MJ, but there are certain conditions that I think are important that might be considered unacceptable by counter parties. I'll probably eat a lot of downvotes for this, but I would have a problem with legalizing marijuana in a depressed economy with a high overall, especially high youth unemployment rate. I am concerned that an easy form of pharmaceutical escapism could stymie entrepreneurial spirit, in the face of need, or even work ethic altogether. I had myself fallen into a depression of pot smoking during a period of unemployment and I realize it took a certain kind of disgust with my own behavior to start applying for jobs again. I don't mean to downplay the issues of much larger economic issues playing a significant role, but I do feel that wider spread use of MJ could result in a kind of suppression of the bored and underemployed.
"
192512,1,"That's a little over a half. It should cost around $200 if anyone is curious. You don't have to be rich.It is pretty stupid to give the cops a reason to pull you over when you have weed in the car. 14 over the limit is kinda asking for it. Especially if you've smoked in the car recently. I fully understand the need to make it Sonic before it closes but there are some risks that just shouldn't be taken. Had he just brought a few joints, burned them down and driven at the speed limit he wouldn't have had a problem. A half ounce is too much to smoke in one night anyway.
"
192823,1,"This is the -only- argument I'll ever accept from the anti-weed public, the legality thing. ""It's illegal"" is a stupid reason not to do something if the illegal thing is clearly still morally and ethically sound. However I still respect any person that says ""that's all fine, but it's illegal and I don't want it in my house"", because that's a personal boundary and by stepping over that I find myself ethically wanting.Fuck I'm high.
"
194515,1,"You're assuming that people vote across strict party lines apart from rationally weighing the platform merits of each candidate. Bernie is a democratic socialist/left libertarian. Sure he stands for government regulation which conservatives would naturally oppose, but he also stands for democratic reforms and protecting civil liberties as privacy freedom of the public from state intrusion. He stands by non-aggression/non-intervention principles, he's pro-small family business, he favors the decriminalization of recreational marijuana use and treating drug addiction as an illness not a crime, he favors the enabling of local agriculture to source food to local communities. He may appeal to some libertarian conservatives. Note: I'm an libertarian and I live in Vermont, though Bernie leans socialist, he's a better choice than any crony corporatist on the Democratic or Republican ticket.
"
194733,0,"Here's how I did it. After they won best album I was like, why the fuck is this best album. So I started listening to Suburbs a lot. At first I though Win was too whiny and the music was boring. I just couldn't understand what was going on. I finally got it one day. But the real moment for me was on Funeral. I had been listening to it for a while along with suburbs and it was clicking yet. I got really high at my in laws and on the way home (my wife was driving, don't drive stoned kids!) I put on Tunnels (track one on Funeral). I had magical moment listening to the most beautiful song intro of all time. That's when I got it.You have to really listen to the songs and figure out what they mean to you. The Suburbs specifically details my childhood and will probably remain my favorite for that reason. Also, the line ""I want a daughter while I'm still young, so I can show her some beauty before the damage is done."" Was integral for me accepting I was going to be a father of a little girl. I had really wanted a boy.So, keep listening. AIT down with the lyrics and some weed and get into the music.I am terrible at music and really don't like much music at all. So that's what I had to do to discover the greatest band ever.
"
196324,1,"Most likely from more killer cops at a time opening fire on any poodle, kid with toy gun, or pot smoker with simi-autos instead of revolvers.
"
196601,1,"Man JT came to this thing once to present a speech on what he believes, and I was like shit I'm voting for this nigga for sure. Then I found he was in full support of legalizing weed and almost came.
"
198638,1,"No one smokes just because they aren't supposed to. And even if they did, there are already plenty of more dangerous illegal things they could be doing, but instead they chose weed. This suggests that, in the absence of illegal weed, they would pick something else with a similar level of danger.
"
199315,1,"Hello ace425! I am a former member of the US Coast Guard, which also falls under the larger umbrella of the Department of Homeland Security.Every year, COUNTLESS BILLIONS (aka I don't know how much exactly, but its a lot) are spent on the much larger government branch; ""The Department of Defense"". Just about all of this goes towards ""DEFENDING"" the US in *OTHER* countries. Much more high-end machinery is used in this process, and we only ever seem to maintain an offense or kill lots of people on their home turf. Kind of a weird way to defend something right? I've always thought so at least.The DHS on the other hand, is the branch that under no other circumstances other than Congressional approval for dire need during a time of 'war' - will/should always be on US soil or US territorial waters, protecting the country, its infrastructure - and most importantly its citizens - against any form of threat. Sometimes the threat is not a threat at all, like people transporting weed, or people from one of our many surrounding shitty 3rd world countries trying to make it to our land for a better life. Before you ask, YES - I am a white, American-borne male who served in a military service designed to keep people from immigrating to our country illegally - AND I DON'T AGREE WITH IT! What a juicy contradiction!However, not that we've had to worry about it since 9/11 - our job is also *technically* to be a fully armed militarized deterrent from other countries plowing into our dirt and trying to destroy us. I know it sounds funny, because we've never had to since Pearl Harbor, and that we were not able to stop 9/11 from happening - but we also like to think that the reason these events are so rare is because people really don't want to mess with us.Armored tank jeeps, or whatever those things are called (I really don't know), lots of bullets, and boats patrolling our coast lines every day - is just one way that we make sure the only people destroying our country is ourselves.You can completely look at these Jeepurnauts and say ""this is excessive spending that has no functional use"" - that is totally how it should appear in an ideal situation. HELL - if war ever actually broke out in the country (I'm looking at you Florida), these things might ultimately not do a whole lot of good for us - possibly. But until that time comes to pass, we can justify their existence simply by saying ""well we haven't had any terrorists driving 50 ton semi's into capital buildings so something must be working properly.""If you have any other questions on this subject or how I think/feel about it, let me know!Otherwise, continue having a great day :D!
"
207124,1,"You were just dying to get that trend started, huh?Seriously, though, it was a small consideration in my recent move to Colorado when I could have gone anywhere, even though I seldom smoke pot. It's just the sanity and progressive outlook I was attracted to.Any place where alcohol and tobacco are welcome but possessing marijuana is a crime is more than a little messed up.
"
207513,1,"In real life most of us who dont have fathers that are lawyers DO NOT get off on charges like that. It comes down to their word agianst yours and you lose with a public defender. Also, you didn't mention the weed thing. All they gotta do is make something like that up, and they are in. ""I saw him hiding something in his glove box as I pulled him over, he was very nervous so I searched the vehicle and found heroin in the glove box""These reports are written after the fact. The tapes recording the stop in the cruiser are almost never turned in, they just say they aren't recording. MANY people have been arrested for recording the police because of certain states wire tap laws. Yes if all of our father's were lawyers we might get out of things like that, but it isn't the case. I tried to get a gun case thrown out on an illegal search and seizure, and it went like this. COP""The suspect gave me consent to search his vehicle""MY SHIT LAWYER ""My client says he did not (I didnt) why would he do that if he had a loaded handgun in the car?""COP ""Maybe he thought I wouldn't find it, it was hidden well under the seat (No it wasnt)Judge, ""This officer has proven to be an upstanding and reliable man in the eyes of this court, I have no reason not to believe him.Hearing over. I even had a witness. Someone in the car with me that said I never consented. Would it have been different had I a decent lawyer? Yes I bet it would have.
"
209022,1,"I grew up in a conservative household and life my life by conservative principles. That being said, I have a hard time really knowing what I believe myself. I find it hard to want to legislate certain things because in reality, they don't affect me personally. (My lifestyle won't change because things like pot are legalized) Yeah, it could potentially create problems with some societal decline, but at the same time, I feel like people need to learn from their mistakes once in a while. I wouldn't vote in favor of things that I am morally opposed to, but I might just abstain all together. Does that make me a cop out liberal?
"
209969,1,"He always does, he was in a certain debate for legalization of marijuana I think.
"
212194,1,"Could you do a skit where two astronauts, after receiving money from pot now being legalized, actually have a budget to perform the first ""blunt walk"". Where a little space shuttle floats independently through space encasing a single blunt.Performed with the 2001 space odesy music.I imagine the blunt space ship to have a little fan to keep the blunt lit with its own jets for mobility. Kinda half bubble half apple mouse. Lil american flag on the side.Houston we have lift off!Super intense stress. Everyone on earth looks. ( people cling to the TV, mission control high-fiving, and the president cheering as well. Post blunt walk )Political premise with comedy intertwined.You guys are my heroes BTW.
"
218658,1,"Because you had to make concessions to come to a compromise to legalize weed.
"
,0.92,
